流程,大类,项目,矿石种类,price(干基）,TFe,SiO2,Al2O3,S,P,TiO2,MnO,MgO,CaO,K2O,Na2O,ZnO,H2O,烧损LOI,返粉率,固定碳,灰分,M4O,反应强度
烧结,铁料,红泥返矿,,431.41,56.84,4.55,1.19,0.06,0.08,0.32,0.26,1.86,7.60,0.00,0.00,0.00,7.40,1.71,,0.00,,,
烧结,铁料,氧化铁皮,,666.67,70.83,1.40,0.71,0.07,0.03,0.05,0.38,0.59,0.79,0.03,0.05,0.05,6.95,1.59,,0.00,,,
烧结,铁料,重力灰（炼铁）,,150.00,30.00,5.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.09,1.55,5.00,40.00,,0.00,,,
烧结,铁料,印粉,,412.96,56.26,5.99,4.40,0.02,0.06,0.13,0.84,0.13,0.10,0.00,0.00,0.00,11.34,6.38,,0.00,,,
烧结,铁料,巴混,,0.00,62.36,6.01,1.67,0.01,0.07,0.10,0.44,0.10,0.27,0.04,0.07,0.01,8.43,2.63,,0.00,,,
烧结,铁料,PB粉,褐铁矿,678.52,61.42,3.43,2.06,0.03,0.10,0.10,0.15,0.14,0.10,0.04,0.07,0.01,9.78,5.73,,0.00,,,
烧结,铁料,高硅巴粗,,371.77,58.24,12.05,1.64,0.01,0.06,0.07,0.26,0.10,0.50,0.02,0.04,0.01,9.20,1.62,,0.00,,,
烧结,铁料,超特粉,,425.01,57.32,5.97,3.21,0.03,0.05,0.15,1.14,0.10,0.22,0.04,0.04,0.02,8.87,8.80,,0.00,,,
烧结,铁料,混合粉,褐铁矿,515.24,57.98,5.36,2.31,0.04,0.07,0.18,0.65,0.23,0.10,0.03,0.02,0.01,8.15,6.92,,0.00,,,
烧结,铁料,麦克粉,褐铁矿,644.78,61.71,4.41,2.19,0.03,0.09,0.11,0.12,0.13,0.13,0.04,0.05,0.01,7.94,6.60,,0.00,,,
烧结,铁料,纽曼粉,赤铁矿,704.20,62.75,4.16,2.48,0.02,0.09,0.11,0.12,0.10,0.20,0.01,0.01,0.01,7.11,4.89,,0.00,,,
烧结,铁料,南非粉,,0.00,60.68,2.96,9.15,0.02,0.05,0.10,0.05,0.10,0.30,0.06,0.01,0.01,2.12,1.28,,0.00,,,
烧结,铁料,卡粉,赤铁矿,893.73,65.73,1.43,1.29,0.02,0.05,0.11,0.30,0.10,0.13,0.03,0.04,0.01,8.36,2.18,,0.00,,,
烧结,铁料,金布巴粉,褐铁矿,0.00,60.65,5.03,3.05,0.06,0.12,0.10,0.30,0.24,0.36,0.04,0.08,0.01,7.84,4.35,,0.00,,,
烧结,铁料,罗布河粉,,0.00,57.26,4.45,2.77,0.02,0.04,0.13,0.28,0.10,0.36,0.02,0.04,0.07,8.63,11.52,,0.00,,,
烧结,铁料,罗伊山粉,,0.00,61.07,4.88,2.30,0.03,0.05,0.17,0.39,0.16,0.24,0.03,0.04,0.01,10.14,4.78,,0.00,,,
烧结,铁料,伊朗精粉,,0.00,64.66,5.24,1.06,0.06,0.03,0.12,0.29,0.18,0.26,0.03,0.04,0.02,0.68,-1.30,,0.00,,,
烧结,铁料,毛塔粉,,0.00,59.30,13.10,1.44,0.03,0.04,0.12,0.29,0.33,0.85,0.03,0.04,0.02,1.96,-1.36,,0.00,,,
烧结,铁料,印度粉,赤铁矿,0.00,57.40,5.30,3.91,0.02,0.05,0.40,0.40,0.40,0.50,0.00,0.00,0.00,10.00,4.00,,0.00,,,
烧结,铁料,西部粉,,410.68,57.64,6.56,2.81,0.02,0.06,0.23,0.12,0.13,0.06,0.01,0.03,0.24,8.34,6.32,,0.00,,,
烧结,燃料,焦粉,,1168.74,0.45,5.64,4.72,0.75,0.02,0.27,0.01,0.10,0.65,0.04,0.33,0.01,17.29,81.69,,85.72,,,
烧结,燃料,白煤,,963.50,0.42,7.22,5.85,0.58,0.08,0.28,0.01,0.18,0.72,0.14,0.48,0.01,11.89,75.26,,80.88,,,
烧结,辅料,生石灰,,324.79,0.23,2.97,0.97,0.16,0.08,0.01,0.01,7.57,75.93,0.15,0.32,0.01,0.00,15.25,,0.00,,,
烧结,辅料,石灰石,,66.53,0.00,2.55,0.00,0.00,0.00,0.00,0.00,3.94,47.49,0.00,0.00,0.00,1.77,42.48,,0.00,,,
烧结,辅料,菱镁石粉,,123.08,1.52,5.11,2.37,0.02,0.01,0.10,0.05,43.36,2.48,0.05,0.58,0.01,2.56,46.90,,0.00,,,
烧结,辅料,白云石粉,,67.57,0.17,3.15,0.20,0.02,0.01,0.01,0.01,20.51,29.00,0.06,0.32,0.01,1.61,43.67,,0.00,,,
球团,铁料,自产球团矿,,669.38,62.70,4.91,0.96,0.00,0.05,1.18,0.15,1.40,0.88,0.07,0.08,0.04,0.00,0.00,,0.00,,,
球团,辅料,膨润土,,275.44,,4.60,,0.80,,0.80,,,45.00,,,,2.10,,,,,,
高炉,块矿,PB块,外矿,803.84,62.95,1.36,0.66,0.02,0.08,0.05,0.03,0.19,0.22,0.00,0.01,0.00,4.80,7.57,5.00,0.00,,,
高炉,块矿,纽曼块,外矿,858.46,64.62,2.98,1.32,0.01,0.08,0.10,0.12,0.08,0.23,0.01,0.09,0.01,3.12,3.38,5.50,0.00,,,
